Називний;Родовий;Знахідний;Давальний;Орудний;Джерело;Примітка
водій-паропровідник;водія-паропровідника;водія-паропровідника;водію-паропровіднику;водієм-паропровідником;довідник, Excel, зведений;
водій-пожежний;водія-пожежного;водія-пожежного;водію-пожежному;водієм-пожежним;довідник, Excel, зведений;
водій-помічник;водія-помічника;водія-помічника;водію-помічнику;водієм-помічником;довідник, Excel, зведений;
водій-понтонер;водія-понтонера;водія-понтонера;водію-понтонеру;водієм-понтонером;довідник, Excel, зведений;
водій-радіотелефоніст;водія-радіотелефоніста;водія-радіотелефоніста;водію-радіотелефоністу;водієм-радіотелефоністом;довідник, Excel, зведений;
водій-радіотелфоніст;водія-радіотелфоніста;водія-радіотелфоніста;водію-радіотелфоністу;водієм-радіотелефоністом;довідник, Excel, зведений;
водій-санітар;водія-санітара;водія-санітара;водію-санітару;водієм-санітаром;довідник, Excel, зведений;
водій-сапер;водія-сапера;водія-сапера;водію-саперу;водієм-сапером;довідник, Excel, зведений;
водій-сапер розмінування;водія-сапера розмінування;водія-сапера розмінування;водію-саперу розмінування;водієм-сапером розмінування;довідник, Excel, зведений;
водій-слюсар;водія-слюсаря;водія-слюсаря;водію-слюсарю;водієм-слюсарем;довідник, Excel, зведений;
водій-спостерігач;водія-спостерігача;водія-спостерігача;водію-спостерігачу;водієм-спостерігачем;довідник, Excel, зведений;
водій-стрілець;водія-стрільця;водія-стрільця;водію-стрільцю;водієм-стрільцем;довідник, Excel, зведений;
водій-токар;водія-токаря;водія-токаря;водію-токарю;водієм-токарем;довідник, Excel, зведений;
водій-фельд'єгер;водія-фельд'єгеря;водія-фельд'єгеря;водію-фельд'єгерю;водієм-фельд'єгерем;довідник, Excel, зведений;
водій-хімік;водія-хіміка;водія-хіміка;водію-хіміку;водієм-хіміком;довідник, Excel, зведений;
вожатий;вожатого;вожатого;вожатому;вожатим;довідник, Excel, зведений;
вожатий службових собак;вожатого службових собак;вожатого службових собак;вожатому службових собак;вожатим службових собак;довідник, Excel, зведений;
вулканізаторник;вулканізаторника;вулканізаторника;вулканізаторнику;вулканізаторником;довідник, Excel, зведений;
відповідальний виконавець;відповідального виконавця;відповідального виконавця;відповідальному виконавцю;відповідальним виконавцем;довідник, Excel, зведений;
відповідальний секретар;відповідального секретаря;відповідального секретаря;відповідальному секретарю;відповідальним секретарем;зведений;
візирник;візирника;візирника;візирнику;візирником;довідник, Excel, зведений;
військовий капелан;військового капелана;військового капелана;військовому капелану;військовим капеланом;зведений;
військовий комендант;військового коменданта;військового коменданта;військовому коменданту;військовим комендантом;зведений;
військовий спостерігач;військового спостерігача;військового спостерігача;військовому спостерігачу;військовим спостерігачем;зведений;
військовослужбовець;військовослужбовця;військовослужбовця;військовослужбовцю;військовослужбовцем;зведений;
вістовий;вістового;вістового;вістовому;вістовим;довідник, Excel, зведений;
газівник;газівника;газівника;газівнику;газівником;довідник, Excel, зведений;
гальванік;гальваніка;гальваніка;гальваніку;гальваніком;довідник, Excel, зведений;
головна медична сестра;головної медичної сестри;головну медичну сестру;головній медичній сестрі;головною медичною сестрою;зведений;
головний боцман;головного боцмана;головного боцмана;головному боцману;головним боцманом;довідник, Excel, зведений;
головний науковий співробітник;головного наукового співробітника;головного наукового співробітника;головному науковому співробітнику;головним науковим співробітником;зведений;
головний офіцер;головного офіцера;головного офіцера;головному офіцеру;головним офіцером;зведений;
головний офіцер відділення;головного офіцера відділення;головного офіцера відділення;головному офіцеру відділення;головним офіцером відділення;зведений;
головний офіцер відділу;головного офіцера відділу;головного офіцера відділу;головному офіцеру відділу;головним офіцером відділу;зведений;
головний офіцер групи;головного офіцера групи;головного офіцера групи;головному офіцеру групи;головним офіцером групи;зведений;
головний офіцер напряму;головного офіцера напряму;головного офіцера напряму;головному офіцеру напряму;головним офіцером напряму;зведений;
головний офіцер сектору;головного офіцера сектору;головного офіцера сектору;головному офіцеру сектору;головним офіцером сектору;зведений;
головний офіцер секції;головного офіцера секції;головного офіцера секції;головному офіцеру секції;головним офіцером секції;зведений;
головний офіцер служби;головного офіцера служби;головного офіцера служби;головному офіцеру служби;головним офіцером служби;зведений;
головний офіцер управління;головного офіцера управління;головного офіцера управління;головному офіцеру управління;головним офіцером управління;зведений;
головний офіцер центру;головного офіцера центру;головного офіцера центру;головному офіцеру центру;головним офіцером центру;зведений;
головний офіцер штабу;головного офіцера штабу;головного офіцера штабу;головному офіцеру штабу;головним офіцером штабу;зведений;
головний сержант;головного сержанта;головного сержанта;головному сержанту;головним сержантом;довідник, Excel, зведений;
головний сержант ансамблю;головного сержанта ансамблю;головного сержанта ансамблю;головному сержанту ансамблю;головним сержантом ансамблю;зведений;
головний сержант батальйону;головного сержанта батальйону;головного сержанта батальйону;головному сержанту батальйону;головним сержантом батальйону;зведений;
головний сержант батареї;головного сержанта батареї;головного сержанта батареї;головному сержанту батареї;головним сержантом батареї;зведений;
головний сержант бригади;головного сержанта бригади;головного сержанта бригади;головному сержанту бригади;головним сержантом бригади;зведений;
головний сержант взводу;головного сержанта взводу;головного сержанта взводу;головному сержанту взводу;головним сержантом взводу;зведений;
головний сержант відділення;головного сержанта відділення;головного сержанта відділення;головному сержанту відділення;головним сержантом відділення;зведений;
головний сержант військової частини;головного сержанта військової частини;головного сержанта військової частини;головному сержанту військової частини;головним сержантом військової частини;зведений;
головний сержант групи;головного сержанта групи;головного сержанта групи;головному сержанту групи;головним сержантом групи;зведений;
головний сержант дивізіону;головного сержанта дивізіону;головного сержанта дивізіону;головному сержанту дивізіону;головним сержантом дивізіону;зведений;
головний сержант екіпажу;головного сержанта екіпажу;головного сержанта екіпажу;головному сержанту екіпажу;головним сержантом екіпажу;зведений;
головний сержант ескадрильї;головного сержанта ескадрильї;головного сержанта ескадрильї;головному сержанту ескадрильї;головним сержантом ескадрильї;зведений;
головний сержант загону;головного сержанта загону;головного сержанта загону;головному сержанту загону;головним сержантом загону;зведений;
головний сержант збройних сил україни;головного сержанта збройних сил україни;головного сержанта збройних сил україни;головному сержанту збройних сил україни;головним сержантом збройних сил україни;зведений;
головний сержант командування;головного сержанта командування;головного сержанта командування;головному сержанту командування;головним сержантом командування;зведений;
головний сержант корпусу;головного сержанта корпусу;головного сержанта корпусу;головному сержанту корпусу;головним сержантом корпусу;зведений;
головний сержант ланки;головного сержанта ланки;головного сержанта ланки;головному сержанту ланки;головним сержантом ланки;зведений;
головний сержант оркестру;головного сержанта оркестру;головного сержанта оркестру;головному сержанту оркестру;головним сержантом оркестру;зведений;
головний сержант полку;головного сержанта полку;головного сержанта полку;головному сержанту полку;головним сержантом полку;зведений;
головний сержант роти;головного сержанта роти;головного сержанта роти;головному сержанту роти;головним сержантом роти;зведений;
головний сержант, коледжу, вищого військового навчального закладу;головного сержант, коледжу, вищого військового навчального закладу;головного сержант, коледжу, вищого військового навчального закладу;головному сержант, коледжу, вищого військового навчального закладу;головним сержант, коледжу, вищого військового навчального закладу;зведений;
головний сержант-командир;головного сержанта-командира;головного сержанта-командира;головному сержанту-командиру;головним сержантом-командиром;довідник, Excel, зведений;
головний сержант-командир зенітного ракетного відділення;головного сержанта-командира зенітного ракетного відділення;головного сержанта-командира зенітного ракетного відділення;головному сержанту-командиру зенітного ракетного відділення;головним сержантом-командиром зенітного ракетного відділення;довідник, Excel, зведений;
головний сержант-начальник;головного сержанта-начальника;головного сержанта-начальника;головному сержанту-начальнику;головним сержантом-начальником;довідник, Excel, зведений;
головний сержант-спортсмен;головного сержанта-спортсмена;головного сержанта-спортсмена;головному сержанту-спортсмену;головним сержантом-спортсменом;зведений;
головний старшина корабля;головного старшини корабля;головного старшини корабля;головному старшині корабля;головним старшиною корабля;зведений;
головний інспектор;головного інспектора;головного інспектора;головному інспектору;головним інспектором;зведений;
гранатометник;гранатометника;гранатометника;гранатометнику;гранатометником;довідник, Excel, зведений;
гранатометник-радіотелефоніст;гранатометника-радіотелефоніста;гранатометника-радіотелефоніста;гранатометнику-радіотелефоністу;гранатометником-радіотелефоністом;довідник, Excel, зведений;
гранатометника;гранатометнику;гранатометника;гранатометникі;гранатометникою;Excel;
гідроакустик;гідроакустика;гідроакустика;гідроакустику;гідроакустиком;довідник, Excel, зведений;
гідрометеоспостерігач;гідрометеоспостерігача;гідрометеоспостерігача;гідрометеоспостерігачу;гідрометеоспостерігачем;довідник, Excel, зведений;
гіроскопіст;гіроскопіста;гіроскопіста;гіроскопісту;гіроскопістом;довідник, Excel, зведений;
далекомірник;далекомірника;далекомірника;далекомірнику;далекомірником;довідник, Excel, зведений;
далекомірник-номер;далекомірника-номера;далекомірника-номера;далекомірнику-номеру;далекомірником-номером;довідник, Excel, зведений;
дегазатор;дегазатора;дегазатора;дегазатору;дегазатором;довідник, Excel, зведений;
дезінфектор;дезінфектора;дезінфектора;дезінфектору;дезінфектором;довідник, Excel, зведений;
дефектувальник;дефектувальника;дефектувальника;дефектувальнику;дефектувальником;довідник, Excel, зведений;
дешифрувальник;дешифрувальника;дешифрувальника;дешифрувальнику;дешифрувальником;довідник, Excel, зведений;
дешифрувальник розвідувальних матеріалів з безпілотних літальних апаратів;дешифрувальника розвідувальних матеріалів з безпілотних літальних апаратів;дешифрувальника розвідувальних матеріалів з безпілотних літальних апаратів;дешифрувальнику розвідувальних матеріалів з безпілотних літальних апаратів;дешифрувальником розвідувальних матеріалів з безпілотних літальних апаратів;зведений;
дизеліст;дизеліста;дизеліста;дизелісту;дизелістом;довідник, Excel, зведений;
дизеліст-електрик;дизеліста-електрика;дизеліста-електрика;дизелісту-електрику;дизелістом-електриком;довідник, Excel, зведений;
диспетчер;диспетчера;диспетчера;диспетчеру;диспетчером;довідник, Excel, зведений;
диспетчер поїзний;диспетчера поїзного;диспетчера поїзного;диспетчеру поїзному;диспетчером поїзним;довідник, Excel, зведений;
днювальний;днювального;днювального;днювальному;днювальним;довідник, Excel, зведений;
дозиметрист;дозиметриста;дозиметриста;дозиметристу;дозиметристом;довідник, Excel, зведений;
дозувальник;дозувальника;дозувальника;дозувальнику;дозувальником;довідник, Excel, зведений;
докторант;докторанта;докторанта;докторанту;докторантом;зведений;
доцент;доцента;доцента;доценту;доцентом;зведений;
дресирувальник;дресирувальника;дресирувальника;дресирувальнику;дресирувальником;довідник, Excel, зведений;
друкар;друкара;друкара;друкару;друкаром;довідник, Excel, зведений;
діловод;діловода;діловода;діловоду;діловодом;довідник, Excel, зведений;
діловод-статистик;діловода-статистика;діловода-статистика;діловоду-статистику;діловодом-статистиком;зведений;
експедитор;експедитора;експедитора;експедитору;експедитором;довідник, Excel, зведений;
електрик;електрика;електрика;електрику;електриком;довідник, Excel, зведений;
електрик-дизеліст;електрика-дизеліста;електрика-дизеліста;електрику-дизелісту;електриком-дизелістом;довідник, Excel, зведений;
електрик-моторист;електрика-моториста;електрика-моториста;електрику-мотористу;електриком-мотористом;довідник, Excel, зведений;
електрик-слюсар;електрика-слюсаря;електрика-слюсаря;електрику-слюсарю;електрика-слюсаря;довідник, Excel, зведений;
електрозварник;електрозварника;електрозварника;електрозварнику;електрозварником;довідник, Excel, зведений;
електрозварник-коваль;електрозварника-коваля;електрозварника-коваля;електрозварнику-ковалю;електрозварником-ковалем;довідник, Excel, зведений;
електрозварювальник;електрозварювальника;електрозварювальника;електрозварювальнику;електрозварювальником;довідник, Excel, зведений;
електромонтер;електромонтера;електромонтера;електромонтеру;електромонтером;довідник, Excel, зведений;
заряджаючий;заряджаючого;заряджаючого;заряджаючому;заряджаючим;довідник, Excel, зведений;
заступник;заступника;заступника;заступнику;заступником;довідник, Excel, зведений;
заступник командира батальйону;заступника командира батальйону;заступника командира батальйону;заступнику командира батальйону;заступником командира батальйону;зведений;
заступник командира батальйону з безпеки військової служби;заступника командира батальйону з безпеки військової служби;заступника командира батальйону з безпеки військової служби;заступнику командира батальйону з безпеки військової служби;заступником командира батальйону з безпеки військової служби;зведений;
заступник командира батальйону з бойової підготовки;заступника командира батальйону з бойової підготовки;заступника командира батальйону з бойової підготовки;заступнику командира батальйону з бойової підготовки;заступником командира батальйону з бойової підготовки;зведений;
заступник командира батальйону з зв'язку;заступника командира батальйону з зв'язку;заступника командира батальйону з зв'язку;заступнику командира батальйону з зв'язку;заступником командира батальйону з зв'язку;зведений;
заступник командира батальйону з логістики;заступника командира батальйону з логістики;заступника командира батальйону з логістики;заступнику командира батальйону з логістики;заступником командира батальйону з логістики;зведений;
заступник командира батальйону з морально-психологічного забезпечення;заступника командира батальйону з морально-психологічного забезпечення;заступника командира батальйону з морально-психологічного забезпечення;заступнику командира батальйону з морально-психологічного забезпечення;заступником командира батальйону з морально-психологічного забезпечення;зведений;
заступник командира батальйону з озброєння;заступника командира батальйону з озброєння;заступника командира батальйону з озброєння;заступнику командира батальйону з озброєння;заступником командира батальйону з озброєння;зведений;
заступник командира батальйону з персоналу;заступника командира батальйону з персоналу;заступника командира батальйону з персоналу;заступнику командира батальйону з персоналу;заступником командира батальйону з персоналу;зведений;
заступник командира батальйону з повітряно-десантної підготовки;заступника командира батальйону з повітряно-десантної підготовки;заступника командира батальйону з повітряно-десантної підготовки;заступнику командира батальйону з повітряно-десантної підготовки;заступником командира батальйону з повітряно-десантної підготовки;зведений;
заступник командира батальйону з психологічної підтримки персоналу;заступника командира батальйону з психологічної підтримки персоналу;заступника командира батальйону з психологічної підтримки персоналу;заступнику командира батальйону з психологічної підтримки персоналу;заступником командира батальйону з психологічної підтримки персоналу;зведений;
заступник командира батальйону з ракетно-артилерійського озброєння;заступника командира батальйону з ракетно-артилерійського озброєння;заступника командира батальйону з ракетно-артилерійського озброєння;заступнику командира батальйону з ракетно-артилерійського озброєння;заступником командира батальйону з ракетно-артилерійського озброєння;зведений;
заступник командира батальйону з роботи з особовим складом;заступника командира батальйону з роботи з особовим складом;заступника командира батальйону з роботи з особовим складом;заступнику командира батальйону з роботи з особовим складом;заступником командира батальйону з роботи з особовим складом;зведений;
заступник командира батальйону з технічного забезпечення;заступника командира батальйону з технічного забезпечення;заступника командира батальйону з технічного забезпечення;заступнику командира батальйону з технічного забезпечення;заступником командира батальйону з технічного забезпечення;зведений;
