Група;Назва групи;Код ВОС;Найменування ВОС;Посади, на яких застосовується;Допустимо без додаткової підготовки;Допустимо з додатковою підготовкою;Примітка
03;Управління бойовими діями ракетних військ і артилерії та берегових ракетно-артилерійських військ. Бойове застосування оперативно-тактичних і тактичних ракет, наземної артилерії та берегового ракетно-артилерійського озброєння;030400;Бойове застосування з’єднань, військових частин і підрозділів наземної артилерії;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;030100, 030300, 030500, 030600;;
03;Управління бойовими діями ракетних військ і артилерії та берегових ракетно-артилерійських військ. Бойове застосування оперативно-тактичних і тактичних ракет, наземної артилерії та берегового ракетно-артилерійського озброєння;030500;Бойове застосування з’єднань, військових частин і підрозділів самохідної артилерії;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;030100, 030300, 030400, 030600;;
03;Управління бойовими діями ракетних військ і артилерії та берегових ракетно-артилерійських військ. Бойове застосування оперативно-тактичних і тактичних ракет, наземної артилерії та берегового ракетно-артилерійського озброєння;030600;;;;;Рядок виключено на підставі Наказу Міністерства оборони № 794 від 17.11.2025
03;Управління бойовими діями ракетних військ і артилерії та берегових ракетно-артилерійських військ. Бойове застосування оперативно-тактичних і тактичних ракет, наземної артилерії та берегового ракетно-артилерійського озброєння;030700;Бойове застосування артилерійських військових частин і підрозділів десантно-штурмових військ;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;030100, 030300, 030400, 030500, 030600;;
03;Управління бойовими діями ракетних військ і артилерії та берегових ракетно-артилерійських військ. Бойове застосування оперативно-тактичних і тактичних ракет, наземної артилерії та берегового ракетно-артилерійського озброєння;032100;Бойове застосування берегових ракетних і артилерійських з’єднань, військових частин (підрозділів);На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;707100;073000, 707200;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;040100;Управління бойовими діями (оперативною, бойовою підготовкою зенітних ракетних та радіотехнічних військ), планування операцій та бойових дій;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;040400, 040500;040200, 040300, 440200;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;040200;Бойове застосування та управління діями військ ППО СВ ЗС України;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;;041600;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;040300;Управління бойовими діями (оперативною, бойовою підготовкою) сил та засобів протиповітряної оборони ВМС ЗС України;На командних і штабних посадах в органах військового управління, установах, ВВНЗ та ВНП ЗВО;073000;040200;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;040400;Управління бойовими діями (оперативною та бойовою підготовкою) зенітних ракетних військ і зенітної артилерії;На командних і штабних посадах в органах військового управління, установах, ВВНЗ та ВНП ЗВО;041100, 041300, 041505;708100;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;040500;Управління бойовим застосуванням (оперативною та бойовою підготовкою) радіотехнічних військ;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;044000;040200, 045000;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;041100;Бойове застосування підрозділів, озброєних зенітними ракетними комплексами великої дальності;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;708300, 708400, 708500;708100;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;041103;Бойове застосування технічних підрозділів зенітних ракетних комплексів великої дальності;На командних посадах у військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;041100, 708400;041303, 041307, 041507, 708100;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;041300;Бойове застосування військових частин і підрозділів, озброєних багатоканальними зенітними ракетними комплексами та системами середньої дальності;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;708300;041100, 041305, 041505, 708100;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;041303;Бойове застосування технічних підрозділів зенітних ракетних комплексів (систем) середньої дальності;На командних посадах у військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;041300;041103, 041307, 041507, 708400, 708500;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;041305;Бойове застосування військових частин і підрозділів, озброєних багатоканальними зенітними ракетними системами середньої дальності;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;708300, 708500;041100, 041300, 041303, 041505;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;041307;Бойове застосування технічних підрозділів зенітних ракетних систем середньої дальності;На командних посадах у військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;708400;041103, 041303, 041507, 708100, 708500;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;041505;Бойове застосування військових частин і підрозділів, озброєних багатоканальними зенітними ракетними комплексами малої дальності;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;708300, 708500;041100, 041300, 041305;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;041507;Бойове застосування технічних підрозділів багатоканальних зенітних ракетних комплексів малої дальності;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;708400;041303, 041307, 708500;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;041600;Бойове застосування з’єднань, військових частин і підрозділів протиповітряної оборони Сухопутних військ, озброєних зенітними ракетними комплексами малої дальності;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;441100, 441300, 441500;;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;041900;Бойове застосування підрозділів, озброєних переносними зенітними ракетними комплексами;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;041600;;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;042000;Бойове застосування підрозділів зенітної артилерії;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;042100;041600, 041900;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;042100;Бойове застосування підрозділів, озброєних гарматно-ракетними комплексами, самохідними зенітними артилерійськими установками;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;042600;041600, 041900;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;042600;Бойове застосування підрозділів, озброєних зенітними ракетними комплексами ближньої дії;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;041900;041600;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;043000;Бойове застосування автоматизованих засобів управління зенітними ракетними комплексами;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;708600;708100;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;043100;Бойове застосування автоматизованих засобів управління зенітними ракетними комплексами та зенітною артилерією військ ППО СВ ЗС України;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;443100;;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;044000;Бойове застосування військових частин і підрозділів радіотехнічних військ;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;044001, 044002, 044003, 708200;045000;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;044001;Бойове застосування радіолокаційних комплексів (станцій) сантиметрового діапазону та радіовисотомірів;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;044000, 044002, 044003, 708200;045000, 461704;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;044002;Бойове застосування радіолокаційних комплексів (станцій) дециметрового діапазону;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;044000, 044001, 044003, 441100, 708200;045000, 461704;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;044003;Бойове застосування радіолокаційних комплексів (станцій) метрового діапазону;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;044000, 044001, 044002, 708200;045000, 461704;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;045000;Бойове застосування радіотехнічних військових частин і підрозділів військ ППО СВ ЗС України;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;448000;;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;045100;Бойове застосування військових частин і підрозділів безпілотних літальних апаратів-перехоплювачів військ ЗС України;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;063400, 063401, 063402, 441600, 706300, офіцери 46 групи ВОС;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;046000;Застосування автоматизованих засобів управління радіотехнічними засобами;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;046002, 046003;531100;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;046002;Застосування автоматизованих засобів управління радіотехнічними засобами середньої продуктивності;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;044000, 044002, 044003, 708200;441100;
04;Управління бойовими діями зенітних ракетних та радіотехнічних військ. Бойове застосування зенітного ракетного, зенітного артилерійського та радіотехнічного озброєння протиповітряної оборони;046003;Застосування автоматизованих засобів управління радіотехнічними засобами великої продуктивності;На командних і штабних посадах у підрозділах, військових частинах, установах, ВВНЗ та ВНП ЗВО та командних пунктах;046000, 046002;531100;
06;Управління бойовими діями авіації. Бойове застосування авіації;060100;Управління бойовими діями (оперативною, бойовою підготовкою та плануванням бойових дій) ПС ЗС України;На посадах керівного льотного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;060102;060200, 060300;
06;Управління бойовими діями авіації. Бойове застосування авіації;060102;Управління бойовими діями (оперативною, бойовою підготовкою та плануванням бойових дій) авіації ПС ЗС України;На посадах керівного льотного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;060100;060103;
06;Управління бойовими діями авіації. Бойове застосування авіації;060103;Управління бойовими діями (оперативною, бойовою підготовкою та плануванням бойових дій) армійської авіації;На посадах керівного льотного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;060100, 060102, 061601, 061610;061300;
06;Управління бойовими діями авіації. Бойове застосування авіації;060200;Планування операцій та бойових дій авіації;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО, а також спеціалістів;061800, 062200, 062600;062700, 062701, 062800;
06;Управління бойовими діями авіації. Бойове застосування авіації;060300;Бойове застосування змішаних авіаційних з’єднань і військових частин (крім морської авіації);На посадах льотного складу в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;061300, 061600;060400, 061000;
06;Управління бойовими діями авіації. Бойове застосування авіації;060400;Управління бойовими діями (оперативною, бойовою підготовкою та плануванням бойових дій) авіації ВМС ЗС України;На посадах керівного льотного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;060900;060102, 060200;
06;Управління бойовими діями авіації. Бойове застосування авіації;060900;Бойове застосування військових частин і підрозділів протичовнової авіації;На посадах льотного складу в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;060400;060102, 060200;
06;Управління бойовими діями авіації. Бойове застосування авіації;061000;Бойове застосування з’єднань, військових частин і підрозділів бомбардувальної авіації;На посадах льотного складу в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;;
06;Управління бойовими діями авіації. Бойове застосування авіації;061002;Бойове застосування авіаційних розвідувальних військових частин і підрозділів (на літаках бомбардувальної авіації);На посадах льотного складу в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;061000;;
06;Управління бойовими діями авіації. Бойове застосування авіації;061200;Бойове застосування авіаційних військових частин і підрозділів винищувальної авіації;На посадах льотного складу в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;061500;
06;Управління бойовими діями авіації. Бойове застосування авіації;061300;Бойове застосування авіаційних військових частин і підрозділів штурмової авіації;На посадах льотного складу в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;061500;
06;Управління бойовими діями авіації. Бойове застосування авіації;061400;Бойове застосування авіаційних військових частин і підрозділів військово-транспортної авіації;На посадах льотного складу в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;061401;060900;
06;Управління бойовими діями авіації. Бойове застосування авіації;061401;Бойове застосування з’єднань, військових частин і підрозділів військово-транспортної авіації (на турбогвинтових та реактивних літаках);На посадах льотного складу в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;061400;060400;
