Називний;Родовий;Давальний;Орудний;Інші форми;Склад;Код посади (МО 317);Номери ВОС (МО 317);Усі ВОС;Назва в переліку МО 317;Джерело
артист першої категорії;артиста першої категорії;артисту першої категорії;артистом першої категорії;;рядовий, сержантський, старшинський;011, 029;;;Артист першої категорії (для оркестру вищої категорії, 1 категорії) | Артист першої категорії (для оркестру 2 категорії);Excel, МО 317
артист-тамбурмажор вищої категорії;артиста-тамбурмажора вищої категорії;артисту-тамбурмажору вищої категорії;артистом-тамбурмажором вищої категорії;;рядовий, сержантський, старшинський;026;917;;Артист-тамбурмажор вищої категорії;Excel, МО 317
артист-тамбурмажор другої категорії;артиста-тамбурмажора другої категорії;артисту-тамбурмажору другої категорії;артистом-тамбурмажором другої категорії;;рядовий, сержантський, старшинський;028;917;;Артист-тамбурмажор другої категорії;Excel, МО 317
артист-тамбурмажор першої категорії;артиста-тамбурмажора першої категорії;артисту-тамбурмажору першої категорії;артистом-тамбурмажором першої категорії;;рядовий, сержантський, старшинський;027;917;;Артист-тамбурмажор першої категорії;Excel, МО 317
архіваріус;архіваріуса;архіваріусу;архіваріусом;;рядовий, сержантський, старшинський;009;901;;Архіваріус;Excel, МО 317
асистент;асистента;асистенту;асистентом;;рядовий, сержантський, старшинський;979;881;;Асистент (фізичного терапевта, ерготерапевта);Excel, МО 317
асистент фармацевта;асистента фармацевта;асистенту фармацевта;асистентом фармацевта;;рядовий, сержантський, старшинський;959;879;;Асистент фармацевта;Excel, МО 317
асфальтобетонник;асфальтобетонника;асфальтобетоннику;асфальтобетонником;;рядовий, сержантський, старшинський;010;956;;Асфальтобетонник;Excel, МО 317
баталер;баталера;баталеру;баталером;;рядовий, сержантський, старшинський;015;787, 788, 789, 900, 911;;Баталер;Excel, МО 317
бетоняр;бетоняра;бетоняру;бетоняром;бетонярем;рядовий, сержантський, старшинський;016;956;;Бетоняр;Excel, МО 317
бетоняр резерву;бетоняра резерву;бетоняру резерву;бетоняром резерву;;рядовий, сержантський, старшинський;;;;;Excel
бойовий медик;бойового медика;бойовому медику;бойовим медиком;;рядовий, сержантський, старшинський;;;;;Excel
бойовий медик взводу;бойового медика взводу;бойовому медику взводу;бойовим медиком взводу;;рядовий, сержантський, старшинський;033;878;;Бойовий медик взводу;Excel, МО 317
бортовий механік;бортового механіка;бортовому механіку;бортовим механіком;;рядовий, сержантський, старшинський;019;220, 221, 223;;Бортовий механік (літака, вертольота);МО 317
бортовий механік-випробувач;бортового механіка-випробувача;бортовому механіку-випробувачу;бортовим механіком-випробувачем;;рядовий, сержантський, старшинський;018;220, 221, 223;;Бортовий механік-випробувач;Excel, МО 317
бортовий технік;бортового техніка;бортовому техніку;бортовим техніком;;"рядовий, сержантський, старшинський; офіцерський";021;220, 221, 223;;Бортовий технік;Excel, МО 317, складено
боцман;боцмана;боцману;боцманом;;рядовий, сержантський, старшинський;022, 020, 083;303;;"Боцман (великого підводного човна, надводного корабля 1 рангу, морського судна, де за посадою командира цього судна встановлено військове звання ""капітан 1 рангу"") | Боцман (середнього підводного човна, надводного корабля 2 рангу, морського судна, де за посадою командира цього судна встановлено військове звання ""капітан 2 рангу"") | Боцман (малого підводного човна, надводного корабля 3 рангу, морського судна, де за посадою командира цього судна встановлено військове звання ""капітан 3 рангу"")";МО 317
бухгалтер;бухгалтера;бухгалтеру;бухгалтером;;рядовий, сержантський, старшинський;025, 111, 053;900;;Бухгалтер | Бухгалтер (1 категорії) | Бухгалтер (2 категорії);Excel, МО 317
бібліотекар;бібліотекаря;бібліотекарю;бібліотекарем;бібліотекаром;рядовий, сержантський, старшинський;017;912;;Бібліотекар;Excel, МО 317
вагранник;вагранника;ваграннику;вагранником;;рядовий, сержантський, старшинський;030;975;;Вагранник;Excel, МО 317
викладач;викладача;викладачу;викладачем;;"рядовий, сержантський, старшинський; офіцерський";;;;;Excel, складено
випробувач;випробувача;випробувачу;випробувачем;;рядовий, сержантський, старшинський;125, 050;113, 116, 117, 118, 121, 122, 123, 124, 125, 126, 210, 212, 738, 739, 790;;Випробувач (колісних, гусеничних машин, танків) | Випробувач (парашутів);МО 317
вогнеметник;вогнеметника;вогнеметнику;вогнеметником;;рядовий, сержантський, старшинський;540;193;;Вогнеметник;Excel, МО 317
вогнеметник-оператор;вогнеметника-оператора;вогнеметнику-оператору;вогнеметником-оператором;;рядовий, сержантський, старшинський;;;;;Excel
водолаз;водолаза;водолазу;водолазом;;рядовий, сержантський, старшинський;039;172, 379, 380, 381, 382, 383, 384, 385, 386;;Водолаз;Excel, МО 317
водолаз-механік;водолаза-механіка;водолазу-механіку;водолазом-механіком;;рядовий, сержантський, старшинський;;;;;Excel
водолаз-радист;водолаза-радиста;водолазу-радисту;водолазом-радистом;;рядовий, сержантський, старшинський;031;383;;Водолаз-радист (військових частин і підрозділів спеціального призначення, спеціальної розвідки);Excel, МО 317
водій;водія;водію;водієм;;рядовий, сержантський, старшинський;037;124, 125, 127, 180, 790;так;Водій;Excel, МО 317
водій дрезини;водія дрезини;водію дрезини;водієм дрезини;;рядовий, сержантський, старшинський;038;953;;Водій дрезини;Excel, МО 317
водій електровізка;водія електровізка;водію електровізка;водієм електровізка;;рядовий, сержантський, старшинський;996;792;;Водій електровізка;Excel, МО 317
водій електронавантажувача;водія електронавантажувача;водію електронавантажувача;водієм електронавантажувача;;рядовий, сержантський, старшинський;048;;так;Водій електронавантажувача (автонавантажувача);МО 317
водій-акумуляторник;водія-акумуляторника;водію-акумуляторнику;водієм-акумуляторником;;рядовий, сержантський, старшинський;;;;;Excel
водій-дезінфектор;водія-дезінфектора;водію-дезінфектору;водієм-дезінфектором;;рядовий, сержантський, старшинський;;;;;Excel
водій-експедитор;водія-експедитора;водію-експедитору;водієм-експедитором;;рядовий, сержантський, старшинський;;;;;Excel
водій-електрик;водія-електрика;водію-електрику;водієм-електриком;;рядовий, сержантський, старшинський;058;124, 125, 790;;Водій-електрик;Excel, МО 317
водій-електрик-майстер;водія-електрика-майстра;водію-електрику-майстру;водієм-електриком-майстром;;рядовий, сержантський, старшинський;;;;;Excel
водій-електрик-молодший;водія-електрика-молодшого;водію-електрику-молодшому;водієм-електриком-молодшим;;рядовий, сержантський, старшинський;;;;;Excel
водій-електрик-моторист;водія-електрика-моториста;водію-електрику-мотористу;водієм-електриком-мотористом;;рядовий, сержантський, старшинський;;;;;Excel
водій-електрик-оператор;водія-електрика-оператора;водію-електрику-оператору;водієм-електриком-оператором;;рядовий, сержантський, старшинський;;;;;Excel
водій-заправник;водія-заправника;водію-заправнику;водієм-заправником;;рядовий, сержантський, старшинський;057;790;;Водій-заправник;Excel, МО 317
водій-заряджаючий;водія-заряджаючого;водію-заряджаючому;водієм-заряджаючим;;рядовий, сержантський, старшинський;;;;;Excel
водій-коваль;водія-коваля;водію-ковалю;водієм-ковалем;;рядовий, сержантський, старшинський;;;;;Excel
водій-кранівник;водія-кранівника;водію-кранівнику;водієм-кранівником;;рядовий, сержантський, старшинський;059;790;;Водій-кранівник;Excel, МО 317
водій-кулеметник;водія-кулеметника;водію-кулеметнику;водієм-кулеметником;;рядовий, сержантський, старшинський;;;;;Excel
водій-кіномеханік;водія-кіномеханіка;водію-кіномеханіку;водієм-кіномеханіком;;рядовий, сержантський, старшинський;;;;;Excel
водій-лінійний наглядач;водія-лінійного наглядача;водію-лінійному наглядачу;водієм-лінійним наглядачем;водія-лінійного налядача;рядовий, сержантський, старшинський;;;;;Excel
водій-майстер;водія-майстра;водію-майстру;водієм-майстром;;рядовий, сержантський, старшинський;;;;;Excel
водій-машиніст;водія-машиніста;водію-машиністу;водієм-машиністом;;рядовий, сержантський, старшинський;;;;;Excel
водій-механік;водія-механіка;водію-механіку;водієм-механіком;;рядовий, сержантський, старшинський;;;;;Excel
водій-монтажник;водія-монтажника;водію-монтажнику;водієм-монтажником;;рядовий, сержантський, старшинський;;;;;Excel
водій-номер;водія-номера;водію-номеру;водієм-номером;;рядовий, сержантський, старшинський;;;;;Excel
водій-оператор;водія-оператора;водію-оператору;водієм-оператором;;рядовий, сержантський, старшинський;549;790;;Водій-оператор (наземних засобів керування безпілотними літальними апаратами військових частин і підрозділів спеціального призначення, спеціальної розвідки та екіпажів безпілотних систем);Excel, МО 317
водій-паропровідник;водія-паропровідника;водію-паропровіднику;водієм-паропровідником;;рядовий, сержантський, старшинський;;;;;Excel
водій-пожежний;водія-пожежного;водію-пожежному;водієм-пожежним;;рядовий, сержантський, старшинський;;;;;Excel
водій-помічник;водія-помічника;водію-помічнику;водієм-помічником;;рядовий, сержантський, старшинський;;;;;Excel
водій-понтонер;водія-понтонера;водію-понтонеру;водієм-понтонером;;рядовий, сержантський, старшинський;;;;;Excel
водій-радіотелефоніст;водія-радіотелефоніста;водію-радіотелефоністу;водієм-радіотелефоністом;;рядовий, сержантський, старшинський;;;;;Excel
водій-радіотелфоніст;водія-радіотелфоніста;водію-радіотелфоністу;водієм-радіотелфоністом;водієм-радіотелефоністом;рядовий, сержантський, старшинський;;;;;Excel
водій-санітар;водія-санітара;водію-санітару;водієм-санітаром;;рядовий, сержантський, старшинський;;;;;Excel
водій-сапер;водія-сапера;водію-саперу;водієм-сапером;;рядовий, сержантський, старшинський;;;;;Excel
водій-сапер розмінування;водія-сапера розмінування;водію-саперу розмінування;водієм-сапером розмінування;;рядовий, сержантський, старшинський;046;185;;Водій-сапер розмінування;Excel, МО 317
водій-слюсар;водія-слюсаря;водію-слюсарю;водієм-слюсарем;;рядовий, сержантський, старшинський;;;;;Excel
водій-спостерігач;водія-спостерігача;водію-спостерігачу;водієм-спостерігачем;;рядовий, сержантський, старшинський;;;;;Excel
водій-стрілець;водія-стрільця;водію-стрільцю;водієм-стрільцем;;рядовий, сержантський, старшинський;;;;;Excel
водій-токар;водія-токаря;водію-токарю;водієм-токарем;;рядовий, сержантський, старшинський;;;;;Excel
водій-фельд'єгер;водія-фельд'єгеря;водію-фельд'єгерю;водієм-фельд'єгерем;;рядовий, сержантський, старшинський;;;;;Excel
водій-хімік;водія-хіміка;водію-хіміку;водієм-хіміком;;рядовий, сержантський, старшинський;;;;;Excel
вожатий;вожатого;вожатому;вожатим;;рядовий, сержантський, старшинський;;;;;Excel
вожатий службових собак;вожатого службових собак;вожатому службових собак;вожатим службових собак;;рядовий, сержантський, старшинський;040;200, 886;;Вожатий службових собак;Excel, МО 317
вулканізаторник;вулканізаторника;вулканізаторнику;вулканізаторником;;рядовий, сержантський, старшинський;044;796;;Вулканізаторник;Excel, МО 317
відповідальний виконавець;відповідального виконавця;відповідальному виконавцю;відповідальним виконавцем;;"рядовий, сержантський, старшинський; офіцерський";014, 547;901, 904, 992, 994;;Відповідальний виконавець (центрів забезпечення охорони державної таємниці, кораблів 1 рангу) | Відповідальний виконавець;Excel, МО 317, складено
відповідальний секретар;відповідального секретаря;відповідальному секретарю;відповідальним секретарем;;рядовий, сержантський, старшинський;548;914;;Відповідальний секретар (редакції);МО 317
візирник;візирника;візирнику;візирником;;рядовий, сержантський, старшинський;036;;так;Візирник;Excel, МО 317
військовий капелан;військового капелана;військовому капелану;військовим капеланом;;офіцерський;;;;;складено
військовий комендант;військового коменданта;військовому коменданту;військовим комендантом;;офіцерський;;;;;складено
військовий спостерігач;військового спостерігача;військовому спостерігачу;військовим спостерігачем;;офіцерський;;;;;складено
військовослужбовець;військовослужбовця;військовослужбовцю;військовослужбовцем;;офіцерський;;;;;складено
вістовий;вістового;вістовому;вістовим;;рядовий, сержантський, старшинський;063;788;;Вістовий;Excel, МО 317
газівник;газівника;газівнику;газівником;;рядовий, сержантський, старшинський;051;799;;Газівник;Excel, МО 317
гальванік;гальваніка;гальваніку;гальваніком;;рядовий, сержантський, старшинський;052;972;;Гальванік;Excel, МО 317
головна медична сестра;головної медичної сестри;головній медичній сестрі;головною медичною сестрою;;рядовий, сержантський, старшинський;064;879;;Головна медична сестра (головний медичний брат);МО 317
головний боцман;головного боцмана;головному боцману;головним боцманом;;рядовий, сержантський, старшинський;065;303;;Головний боцман;Excel, МО 317
головний науковий співробітник;головного наукового співробітника;головному науковому співробітнику;головним науковим співробітником;;офіцерський;;;;;складено
головний офіцер;головного офіцера;головному офіцеру;головним офіцером;;офіцерський;;;;;складено
головний офіцер відділення;головного офіцера відділення;головному офіцеру відділення;головним офіцером відділення;;офіцерський;;;;;складено
головний офіцер відділу;головного офіцера відділу;головному офіцеру відділу;головним офіцером відділу;;офіцерський;;;;;складено
головний офіцер групи;головного офіцера групи;головному офіцеру групи;головним офіцером групи;;офіцерський;;;;;складено
головний офіцер напряму;головного офіцера напряму;головному офіцеру напряму;головним офіцером напряму;;офіцерський;;;;;складено
головний офіцер сектору;головного офіцера сектору;головному офіцеру сектору;головним офіцером сектору;;офіцерський;;;;;складено
головний офіцер секції;головного офіцера секції;головному офіцеру секції;головним офіцером секції;;офіцерський;;;;;складено
головний офіцер служби;головного офіцера служби;головному офіцеру служби;головним офіцером служби;;офіцерський;;;;;складено
головний офіцер управління;головного офіцера управління;головному офіцеру управління;головним офіцером управління;;офіцерський;;;;;складено
головний офіцер центру;головного офіцера центру;головному офіцеру центру;головним офіцером центру;;офіцерський;;;;;складено
головний офіцер штабу;головного офіцера штабу;головному офіцеру штабу;головним офіцером штабу;;офіцерський;;;;;складено
головний сержант;головного сержанта;головному сержанту;головним сержантом;;рядовий, сержантський, старшинський;974, 975, 982, 062, 060;929;так;Головний сержант (роти, батареї та їм рівних) | Головний сержант (взводу, обслуги) | Головний сержант (батальйону, дивізіону, ескадрильї, госпіталю, структурного підрозділу Військової служби правопорядку Збройних Сил України, окремої роти та їм рівних, крім окремого батальйону, окремого дивізіону) | Головний сержант (Генерального штабу Збройних Сил України, виду Збройних Сил України, Об’єднаних сил Збройних Сил України та Адміністрації Державної спеціальної служби транспорту) | Головний сержант (окремого роду сил, військ, оперативного, повітряного та морського командування, органу військового управління, у підпорядкуванні якого знаходяться військові частини та командування підготовки виду Збройних Сил України);Excel, МО 317, складено
головний сержант ансамблю;головного сержанта ансамблю;головному сержанту ансамблю;головним сержантом ансамблю;;рядовий, сержантський, старшинський;912;918;;Головний сержант ансамблю;МО 317
головний сержант батальйону;головного сержанта батальйону;головному сержанту батальйону;головним сержантом батальйону;;рядовий, сержантський, старшинський;;;;;складено
головний сержант батареї;головного сержанта батареї;головному сержанту батареї;головним сержантом батареї;;рядовий, сержантський, старшинський;;;;;складено
головний сержант бригади;головного сержанта бригади;головному сержанту бригади;головним сержантом бригади;;рядовий, сержантський, старшинський;;;;;складено
головний сержант взводу;головного сержанта взводу;головному сержанту взводу;головним сержантом взводу;;рядовий, сержантський, старшинський;;;;;складено
головний сержант відділення;головного сержанта відділення;головному сержанту відділення;головним сержантом відділення;;рядовий, сержантський, старшинський;;;;;складено
головний сержант військової частини;головного сержанта військової частини;головному сержанту військової частини;головним сержантом військової частини;;рядовий, сержантський, старшинський;981;929;так;Головний сержант військової частини (бригади, полку, структурного підрозділу Військової служби правопорядку Збройних Сил України, військово-медичного клінічного центру, окремого батальйону, окремого дивізіону та їм рівних);МО 317, складено
головний сержант групи;головного сержанта групи;головному сержанту групи;головним сержантом групи;;рядовий, сержантський, старшинський;;;;;складено
головний сержант дивізіону;головного сержанта дивізіону;головному сержанту дивізіону;головним сержантом дивізіону;;рядовий, сержантський, старшинський;;;;;складено
головний сержант екіпажу;головного сержанта екіпажу;головному сержанту екіпажу;головним сержантом екіпажу;;рядовий, сержантський, старшинський;;;;;складено
головний сержант ескадрильї;головного сержанта ескадрильї;головному сержанту ескадрильї;головним сержантом ескадрильї;;рядовий, сержантський, старшинський;;;;;складено
головний сержант загону;головного сержанта загону;головному сержанту загону;головним сержантом загону;;рядовий, сержантський, старшинський;;;;;складено
головний сержант збройних сил україни;головного сержанта збройних сил україни;головному сержанту збройних сил україни;головним сержантом збройних сил україни;;рядовий, сержантський, старшинський;075;929;;Головний сержант Збройних Сил України;МО 317
головний сержант командування;головного сержанта командування;головному сержанту командування;головним сержантом командування;;рядовий, сержантський, старшинський;;;;;складено
головний сержант корпусу;головного сержанта корпусу;головному сержанту корпусу;головним сержантом корпусу;;рядовий, сержантський, старшинський;;;;;складено
головний сержант ланки;головного сержанта ланки;головному сержанту ланки;головним сержантом ланки;;рядовий, сержантський, старшинський;;;;;складено
головний сержант оркестру;головного сержанта оркестру;головному сержанту оркестру;головним сержантом оркестру;;рядовий, сержантський, старшинський;900, 917;917;;Головний сержант оркестру (для оркестрів вищої категорії, 1 категорії) | Головний сержант оркестру (для оркестрів 2 категорії);МО 317
головний сержант полку;головного сержанта полку;головному сержанту полку;головним сержантом полку;;рядовий, сержантський, старшинський;;;;;складено
головний сержант роти;головного сержанта роти;головному сержанту роти;головним сержантом роти;;рядовий, сержантський, старшинський;;;;;складено
головний сержант, коледжу, вищого військового навчального закладу;головного сержант, коледжу, вищого військового навчального закладу;головному сержант, коледжу, вищого військового навчального закладу;головним сержант, коледжу, вищого військового навчального закладу;;рядовий, сержантський, старшинський;991;;так;Головний сержант (навчальної військової частини (центру), коледжу, вищого військового навчального закладу);МО 317
головний сержант-командир;головного сержанта-командира;головному сержанту-командиру;головним сержантом-командиром;;рядовий, сержантський, старшинський;;;;;Excel
головний сержант-командир зенітного ракетного відділення;головного сержанта-командира зенітного ракетного відділення;головному сержанту-командиру зенітного ракетного відділення;головним сержантом-командиром зенітного ракетного відділення;;рядовий, сержантський, старшинський;;;;;Excel
головний сержант-начальник;головного сержанта-начальника;головному сержанту-начальнику;головним сержантом-начальником;;рядовий, сержантський, старшинський;;;;;Excel
головний сержант-спортсмен;головного сержанта-спортсмена;головному сержанту-спортсмену;головним сержантом-спортсменом;;рядовий, сержантський, старшинський;992;906, 929;;Головний сержант-спортсмен (спортивного клубу);МО 317
головний старшина корабля;головного старшини корабля;головному старшині корабля;головним старшиною корабля;;рядовий, сержантський, старшинський;983, 985, 998, 999;;так;"Головний старшина корабля (великого підводного човна, надводного корабля 1 рангу, морського судна, де за посадою командира цього судна встановлено військове звання ""капітан 1 рангу"") | Головний старшина корабля (середнього підводного човна, надводного корабля 2 рангу, морського судна, де за посадою командира цього судна встановлено військове звання ""капітан 2 рангу"") | Головний старшина корабля (малого підводного човна, надводного корабля 3 рангу, морського судна, де за посадою командира цього судна встановлено військове звання ""капітан 3 рангу"") | Головний старшина корабля (крім головного старшини підводного човна, надводного корабля 1, 2 і 3 рангу та морського судна, де за посадою командира корабля встановлено військове звання ""капітан 1, 2 і 3 рангу"")";МО 317
головний інспектор;головного інспектора;головному інспектору;головним інспектором;;офіцерський;;;;;складено
гранатометник;гранатометника;гранатометнику;гранатометником;;рядовий, сержантський, старшинський;061;102, 103;;Гранатометник;Excel, МО 317
гранатометник-радіотелефоніст;гранатометника-радіотелефоніста;гранатометнику-радіотелефоністу;гранатометником-радіотелефоністом;;рядовий, сержантський, старшинський;;;;;Excel
гідроакустик;гідроакустика;гідроакустику;гідроакустиком;;рядовий, сержантський, старшинський;054;340, 341, 342, 343, 344, 345, 346;;Гідроакустик;Excel, МО 317
гідрометеоспостерігач;гідрометеоспостерігача;гідрометеоспостерігачу;гідрометеоспостерігачем;;рядовий, сержантський, старшинський;055;631, 632;;Гідрометеоспостерігач;Excel, МО 317
гіроскопіст;гіроскопіста;гіроскопісту;гіроскопістом;;рядовий, сержантський, старшинський;056;;так;Гіроскопіст;Excel, МО 317
далекомірник;далекомірника;далекомірнику;далекомірником;;рядовий, сержантський, старшинський;067;626;;Далекомірник;Excel, МО 317
далекомірник-номер;далекомірника-номера;далекомірнику-номеру;далекомірником-номером;;рядовий, сержантський, старшинський;;;;;Excel
дегазатор;дегазатора;дегазатору;дегазатором;;рядовий, сержантський, старшинський;072;189;;Дегазатор;Excel, МО 317
дезінфектор;дезінфектора;дезінфектору;дезінфектором;;рядовий, сержантський, старшинський;073;878;;Дезінфектор;Excel, МО 317
дефектувальник;дефектувальника;дефектувальнику;дефектувальником;;рядовий, сержантський, старшинський;076;;так;Дефектувальник;Excel, МО 317
дешифрувальник;дешифрувальника;дешифрувальнику;дешифрувальником;;рядовий, сержантський, старшинський;077, 078;677;так;Дешифрувальник | Дешифрувальник (аерофотографічної служби);Excel, МО 317
дешифрувальник розвідувальних матеріалів з безпілотних літальних апаратів;дешифрувальника розвідувальних матеріалів з безпілотних літальних апаратів;дешифрувальнику розвідувальних матеріалів з безпілотних літальних апаратів;дешифрувальником розвідувальних матеріалів з безпілотних літальних апаратів;;рядовий, сержантський, старшинський;090;276;;Дешифрувальник розвідувальних матеріалів з безпілотних літальних апаратів;МО 317
дизеліст;дизеліста;дизелісту;дизелістом;;рядовий, сержантський, старшинський;079;;так;Дизеліст;Excel, МО 317
дизеліст-електрик;дизеліста-електрика;дизелісту-електрику;дизелістом-електриком;;рядовий, сержантський, старшинський;;;;;Excel
